call_number,author,title,country,city,publisher,year,author_yivo,title_yivo,country_en,city_en,publisher_en,jerusalem,telaviv
,א. ב. ג.,אין אפריקא ראמעלט זיך!,,תל אביב,החיים. דער לעבען,1960,,,,,,1
,"אויסלענדער, נ",גרונטשטריכן פון יידישן רעאליזם.,,ווילנע,ב. קלעצקין,1928,,,,,,1
,"אויסלענדער, נ",יידישער טעאטער. 1887-1917.,,מאסקווע,דער עמעס,1940,,,,,,1
,"אויערבאך, אפרים",אדאס לידערבוך.,,ניו יארק,מתנות,1934,,,,,,1
,"אויערבאך, אפרים",אויף דער וואגשאל א-ב,,תל אביב,,1975,,,,,,1
,"אויערבאך, אפרים",אויף דער וואגשאל א-ב,,תל אביב,,1975,,,,,,1
,"אויערבאך, אפרים",גילדענע שקיעה,,בוענאס איירעס,,1959,,,,,,1
,"אויערבאך, אפרים",געטראכט מיט עברי-טייטש,,ניו יארק,מתנות,1955,,,,,,1
,"אויערבאך, אפרים",דער רויטער פאדים,,ניו יארק,אויפקום,1972,,,,,,1
,"אויערבאך, אפרים",וואך איז דער סטעפ,,תל אביב,י.ל. פרץ,1963,,,,,,1
,"אויערבאך, אפרים",ווייסע שטאט,,ניו יארק,נאציאנעלער קאונסיל פאר בעסאראבישער יידן,1952,,,,,,1
,"אויערבאך, אפרים",יעקבס געצעלטן.,,ניו יארק,מתנות,1945,,,,,,1
,"אויערבאך, אפרים",לויטער איז דער אלטער קוואל,,ניו יארק,,1940,,,,,,1
,"אויערבאך, רחל",אויף די פעלדער פון טרעבלינקע,,ווארשע - לאדזש - קראקע,צענטראלע יידישע היסטארישע קאמיסיע,1947,,,,,,1
,"אויערבאך, רחל",אין לאנד ישראל,,תל אביב,י. ל. פרץ,1964,,,,,,1
,"אויערבאך, רחל",בחוצות ורשה,,תל אביב,עם עובד,1954,,,,,,1
,"אויערבאך, רחל",ביים לעצטן וועג,,תל אביב,ישראל בוך,1977,,,,,,1
,"אויערבאך, רחל",ווארשעווער צוואות,,תל אביב,ישראל בוך,1974,,,,,,1
,"אוליאנאווער, מרים",דער באבעס אוצר,,ווארשע,האחים לעווין,1922,,,,,,1
,"אונגער, מנשה",גוט יום טוב קינדער,,ניו יארק,,1950,,,,,,1
,"אונגער, מנשה",די חסידישע וועלט.,,ניו יארק,חסידות פארלאג,1955,,,,,,1
,"אונגער, מנשה",חסידות און לעבן,,ניו יארק,,1946,,,,,,1
,"אונגער, מנשה",ר' ישראל בעל שם טוב.,,ניו יארק,חסידות פארלאג,1963,,,,,,1
,"אונטערמאן, יצחק","אונדזערע ימים טובים. חנוכה, פורים, פסח.",,ניו יארק,יידישע וועלט,1936,,,,,,1
,"אונטערמאן, יצחק",די נביאים. ערשטער בוך.,,ניו יארק,,1938,,,,,,1
,"אונטערמאן, יצחק",די נביאים. ערשטער בוך.,,ניו יארק,,1938,,,,,,1
,"אונטערמאן, יצחק דר",לכבוד יום טוב.,,ניו יארק,וואלף סאליס און בערנארד מארגנשטערן,,,,,,,1
,"אונטערמאן, יצחק, דר","אונדזערע ימים טובים,",,בוענאס איירעס,שמיד און אייזענבלאט,1947,,,,,,1
,"אוסטרי-דן, ישיעהו",נישט אומזיסט.,,מעקסיקא,צבי קעסעל פארלאג,1949,,,,,,1
,"אוסטרי-דן, ישעיהו",אין ווונדערלאנד פון מאייאב,,מעקסיקע,,1961,,,,,,1
,"אוסטרי-דן, ישעיהו",בלויע האריזאנטן,,מעקסיקע,די שטימע,1945,,,,,,1
,"אוסטרי-דן, ישעיהו",האריזאנטן,,מקעסיקע,,1948,,,,,,1
,"אוסטרי-דן, ישעיהו",מעקסיקע,,מעקסיקע,איקוף,1949,,,,,,1
,"אוסטרי-דן, ישראל (רעד)",יארבוך פון מעקסיקאנער יידנטום.,,מעקסיקע,יידישער וועלט קאנגרעס,1950-52,,,,,,1
,"אועלס, ה. ג.",וועלט-געשיכטע. ביז קריסטוס,,ווארשע,מ. ירוחמזאן,1927,,,,,,1
,"אורבאס, יהושע",דער אונהייב,,טאראנטא,,1970,,,,,,1
,"אורן, מרדכי",דער פראגער ארעסטאנט דערציילט,,תל אביב,י. ל. פרץ,1959,,,,,,1
,"אורן, מרדכי",דער פראגער ארעסטאנט דערציילט,,תל אביב,י. ל. פרץ,1959,,,,,,1
,"אזשאיעוו, וואסילי",ווינט פון מאסקווע,,ווארשע,יידיש בוך,1951,,,,,,1
,"אזשאעוו, וואסילי - ל. פרומקין",ווייט פון מאסקווע,,בוענאס איירעס,היימלאנד,1954,,,,,,1
,"איאלטי, חנן",אן א פארהאנג,,ניו יארק,אכסניא,1962,,,,,,1
,"איאלטי, חנן",דער טשעק און די אייביקייט,,מאנטעווידעא,ב. רעזניקאוויטש,1950,,,,,,1
,"איאלטי, חנן",דער טשעק און די אייביקייט,,מאנטעווידעא,רעזניקאוויטש,1950,,,,,,1
,"איאלטי, חנן",דער מאן פון לע מיל,,תל אביב,י.ל. פרץ,1974,,,,,,1
,"איאלטי, חנן",ווייטער פון ברוקלין,,מאנטעווידעא,,1958,,,,,,1
,"איאלטי, חנן",טאטע און זון,,בוענאס איירעס,איאלטי קאמיטעט,1945,,,,,,1
,"איבסען, הענריק",גאזאמלטע דראמען,,ניו יארק,מייזעל פארלאג,1926,,,,,,1
,"איבסען, הענריק",גאזאמלטע דראמען. העדדא און אנדערע,,ניו יארק,מייזעל און קא,1910,,,,,,1
,"איבסען, הענריק",געזאמלטע דראמען.,,ניו יארק,מייזל פארלאג,1910,,,,,,1
,"איבסען, הענריק",ווען מיר טויטע דערוואכן.,,לאנדאן,ל. פרידמאן,,,,,,,1
,"איבסען, הענריק",ראזמערסהאלם.,,ניו יארק,מייזל עט קא,1910,,,,,,1
,"איגנאטאוו, דוד",אויף ווייטע וועגן,,ניו יארק,אמעריקע,1932,,,,,,1
,"איגנאטאוו, דוד",אין קעסעלגרוב. ראמאן,,ניו יארק,אמעריקא,1919,,,,,,1
,"איגנאטאוו, דוד",דאס פארבארגענע ליכט,,ניו יארק,אמעריק,1919,,,,,,1
,"איגנאטאוו, דוד",פאר א נייער וועלט,,USA,אמעריקע פארלאג,1939,,,,,,1
,"איגנאטאוו, דוד",צווישן צוויי זונען,,ניו יארק,מ. מייזעל,1918,,,,,,1
,"איגנאטאוו, דוד",צווישן צוויי זונען,,ניו יארק,מ. מייזעל,1918,,,,,,1
,"איגנאטאף, דוד",אויף ווייטע וועגן,,ניו יארק,אמעריקע,1932,,,,,,1
,"איגנאטאף, דוד",אויף ווייטע וועגן,,ניו יארק,אמעריקע,1932,,,,,,1
,"איגער, חנן",מיאמי ביטש,,ניו יארק,,1937,,,,,,1
,"איוואן, וו. ה.",אויף היימישער ערד,,ווארשע,יידיש בוך,1950,,,,,,1
,"איווענסקי, מ",בוכפירונג.,,ניו יארק,ארבעטער רינג,1922,,,,,,1
,"איזבאן, שמואל",א וואלפיש אין יפו: דערציילונגען,,תל אביב,י. ל. פרץ,1980,,,,,,1
,"איזבאן, שמואל",די קעניגין איזבל,,בוענאס איירעס,יידבוך,1959,,,,,,1
,"איזבאן, שמואל",די קעניגין איזבל,,בוענאס איירעס,יידבוך,1959,,,,,,1
,"איזבאן, שמואל",די שטאט פון צארן: ניו יארקער דערציילונגען,,מאנטעווידעא,זריע,1955,,,,,,1
,"איזבאן, שמואל",די שפעטע יורשים,,בוענאס איירעס,פארלאג יידיש,1955,,,,,,1
,"איזבאן, שמואל",יריחו,,בוענאס איירעס,יידבוך,1966,,,,,,1
,"איזבאן, שמואל",מיאמי ביטש,,ניו יארק,MYOLD PRESS,1937,,,,,,1
,"איזבאן, שמואל",צווישן הונדערט טויערן,,ניו יארק,סקלארסקי,1942,,,,,,1
,"אייבראמס, וויליאם",איך ניי און נייץ,,ניו יארק,בערדיטשעווער ברענטש - ארבעטער ארדן,1936,,,,,,1
,"איידלמאן, דוד",פון געריכט פון ראבינאט פון גאס,,תל אביב,,1966,,,,,,1
,"איידעלסבערג, דוד",ישראל און אירע גלות'ן,,ניו יארק,פאמיליע פארלאג,1953,,,,,,1
,"אייזיקאוויטש, אפרים",ווי אנדערש,,תל אביב,,1967,,,,,,1
,"אייזיקאוויטש, אפרים",לידער,,תל אביב,פולי,1962,,,,,,1
,"אייזיקאוויטש, אפרים",ס'איז מיר באשערט. לידער,,בני ברק,פולי,1969,,,,,,1
,"אייזן, לייב",אלץ איז אוועק מיטן ווינט,,ישראל,,1990,,,,,,1
,"אייזן, שרה",געקליבענע לידער און פאעמעס,,יאהאנעסבורג,דרום-אפריקאנער יידישע קולטור-פעדעראציע,1965,,,,,,1
,"אייזנמאן, צבי",ביים ראנד פון חלום,,תל אביב,י. ל. פרץ,2001,,,,,,1
,"אייזנמאן, צבי",בלעטער פון א פארסמאליעטן פנקס,,תל אביב,י. ל. פרץ,1996,,,,,,1
,"אייזנמאן, צבי",די באן,,ישראל,יגור,1956,,,,,,1
,"אייזנמאן, צבי",מזלות.,,תל אביב,י. ל. פרץ,1965,,,,,,1
,"אייזנמאן, צבי",נעמט מיך אין לאנד פון פארגעסן,,קיבוץ אלונים,קיבוץ אלונים,1983,,,,,,1
,"אייזנמאן, צבי",צווישן גרענעצן,,ישראל,הוצאת הקיבוץ המאוחד,1974,,,,,,1
,"אייזנער, פ. דרורה",יארן פון פיין און נסיון.,,תל אביב,עמך,1980,,,,,,1
,"אייזנשטאדט, שמואל",פיאנערישע געשטאלטן.,,תל אביב,אויפקום,1970,,,,,,1
,"אייזנשטאדט, שמואל דר",די נביאים,,,אייניקייט פארלאג,1964,,,,,,1
,"אייזנשטיין, יהודה דוד",אוצר זכרונותי.,,ניו יארק,מחבר,1929,,,,,,1
,"אייזנשטיין, יעקב",לידער און פאעמען,,בוענאס איירעס,יידישער ליטעראטן פאראיין,1925,,,,,,1
,"אייזען, א",מענטשן פון געטא. דערציילונגען,,ניו יארק,ציקא,1949,,,,,,1
,"אייזענבוד, משה",אליין אין געזעמל. דערציילונגען,,מעלבורן,,1970,,,,,,1
,"אייזענבוד, משה",געלעבט הינטער קראטן,,בוענאס איירעס,יידבוך,1965,,,,,,1
,"אייזענבוד, משה",יוגנטלעכע בלאנדזשענישן,,מעלבורן,,1973,,,,,,1
,"אייזענבוד, משה","ניעסוויזשער יידן, דערציילונגען",,מעלבורן,,1965,,,,,,1
,"אייזענשטיין-קשב, בעטי (רעד) ET AL",פון נאענטן עבר. מאנטגראפיעס און מעמוארן.,,ניו יארק,אלוועלטלעכער יידישער קולטור קאנגרעס - ציקא,1957,,,,,,1
,"אייכענראנד, לייזער",דאס ברויט פון צער,,תל אביב,י. ל. פרץ,1964,,,,,,1
,"אייכענראנד, לייזער",דארשט פאר דויער,,תל אביב,י. ל פרץ,1970,,,,,,1
,"אייכענראנד, לייזער",די אייביקע רגע,,תל אביב,י. ל. פרץ,1980,,,,,,1
,"אייכענראנד, לייזער",לאנדשאפט פון גורל,,תל אביב,תמיד,1979,,,,,,1
,"אייכענראנד, לייזער",ממעמקים,,פאריז,די גאלדענע פאווע,1953,,,,,,1
,"אייכענראנד, לייזער",צווישן איצט און קיינמאל,,תל אביב,תמיד,1984,,,,,,1
,"איינהארן, דוד",אב הרחמים,,ניו יארק,,1943,,,,,,1
,"איינהארן, דוד",געזאמלטע לידער 1904-1951,,ניו יארק,ארבעטער רינג,1952,,,,,,1
,"איינהארן, דוד",צו א יידישער טאכטער,,ניו יארק,נייע וועלט,1917,,,,,,1
,"איינשפרוך, חיים",דער ברית החדשה,,באלטימאר,לייבוש און חיהלע לעדערער פאנד,,,,,,,1
,"אייסלאנד, ראובן",פון אונדזער פרילינג. ליטערארישע זכרונות,,ניו יארק,ר. אזליי יובל-קאמיטעט,1954,,,,,,1
,"אייסלאנד, ראובן",פון מיין זומער,,ניו יארק,אונזער שער,1922,,,,,,1
,"אייסנער, וויל",אן אפמאך מיט גאט. א גראפישער נאוועלע,,אמסטערדאם,מחבר,1984,,,,,,1
,"אילין, מ",בערג און מענטשן,,בוענאס איירעס,,1950,,,,,,1
,"אימבער, ש. י.",רויזענבלעטער,,ווילנע,ב. קלעצקין פארלאג,1914,,,,,,1
,"איסאקסאן, יצחק (רעד)",אנטאלאגיע פון דער וועלט-ליטעראטור,,בוענאס איירעס,יידבוך,1961,,,,,,1
,"אלבערט, יהושע","יידישע ווארשע דורך פיין, בלוט און טויט.",,בוענאס איירעס,,1958,,,,,,1
,"אלגין, משה",אמעריקע,,ניו יארק,אלגין אנדענק קאמיטעט,1941,,,,,,1
,"אלגין, משה",האוורילע און יואל. דערציילונג,,ניו יארק,פארלאג פרייהייט,1927,,,,,,1
,"אלגין, משה",קולטור און פאלק,,ניו יארק,איקוף,1949,,,,,,1
,"אלגין, משה",קולטור און פאלק. רעדעס.,,ניו יארק,איקוף,1939,,,,,,1
,"אלדריטש, דזשיימס - פ. קאץ",דער דיפלאמאט. ראמאן,,בוענאס איירעס,היימלאנד,1955,,,,,,1
,"אלדריטש, דזשיימס - פ. קאץ",דער דיפלאמאט. ראמאן,,בוענאס איירעס,היימלאנד,1955,,,,,,1
,"אלון, יגאל",דאס הויז פון מיין פאטער,,תל אביב,י. ל. פרץ,1991,,,,,,1
,"אלטבוים, הערש",מיין שטעטל,,בוענאס איירעס,,1954,,,,,,1
,"אלטמאן, משה",באם פענצטער,,מאסקווע,סאוועטסקי פיסאטעל,1980,,,,,,1
,"אלטמאן, משה",געקליבענע ווערק,,ניו יארק,ציקא,1955,,,,,,1
,"אלטענבערג, פעטער",ווי איך זע עס,,ניו יארק,ניי צייט,1919,,,,,,1
,"אלטער, פערל",יונגע טעג,,פאריז,אלוועלטלעכער יידישער קולטור קאנגרעס,1962,,,,,,1
,"אלטערמאן, ישראל-בער",די לעצטע היים.,,תל אביב,ישראל בוך,1986,,,,,,1
,"אלטערמאן, ישראל בער",בלאנדזשערס,,תל אביב,ניי לעבן,1982,,,,,,1
,"אלטשולער, מרדכי (רעד)",בריוו פון יידישע סאוועטישע שרייבערס,,ירושלים,העברעישער אוניווערזיטעט,1980,,,,,,1
,אלימלך פון ליזענסק,ספר נפלאות אלימלך.,,פיעטרקוב - ווארשע,אברהם יוסף קליינמאן,1910,,,,,,1
,"אליצקי, ל",אן א מאסקע.,,ווארשע,יידיש בוך,1952,,,,,,1
,"אליצקי, ל",דער מענטש וועט גוט זיין,,לאדזש,דאס נייע לעבן,1947,,,,,,1
,"אליצקי, ל.",צווישן לעבן און טויט. פראזע שאפונג,,ווארשע,יידיש בוך,1955,,,,,,1
,"אליצקי, לייב",Shparunes in hartsn : lider,,תל אביב,תור אריה,1962,,,,,,1
,"אליצקי, לייב",Fun eygenem feldz,,תל אביב,אליצקי קאמיטעט אין ישראל,1964,,,,,,1
,"אליצקי, לייב",אין שיין און שאטן פון אייגענעם בוים. לידער און פאעמעס,,תל אביב,שקדיה,1970,,,,,,1
,"אליצקי, לייב",מענטשן אין קלעם. דערציילונגען,,ווארשע,יידיש בוך,1951,,,,,,1
,"אליצקי, לייב",משלים בוך,,לאדזש,יידיש בוך,1949,,,,,,1
,"אליצקי, לייב",געקליבענע לידער,,תל אביב,,1967,,,,,,1
,"אליצקי, לייב",דורך טויט צום לעבן,,בוענאס איירעס,,1949,,,,,,1
,"אליצקי, לייב",דער מענטש וועט גוט זיין (משלים),,לאדזש,דאס נייע לעבן,1947,,,,,,1
,"אליצקי, לייב",וואלינער יידן. ראמאן,,תל אביב,על המפתן,1973,,,,,,1
,"אליצקי, לייב",וואר און ווערן,,תל אביב,,1967,,,,,,1
,"אליצקי, לייב",זאגט די וועלט א משל,,ווארשע,יידיש בוך,1956,,,,,,1
,"אליצקי, לייב",ישיבה-לייט,,תל אביב,י.ל.פרץ,1968,,,,,,1
,"אליצקי, לייב",לבן בצה'ל,,תל אביב,ספרית סבא,,,,,,,1
,"אליצקי, לייב","לידער צו א ברודער, תל אביב, 1964",,תל אביב,נחמני,1964,,,,,,1
,"אליצקי, לייב",מיטן פנים צו דער זון,,ווארשע,יידיש בוך,1952,,,,,,1
,"אליצקי, לייב",מיין הארץ-רייזע,,תל אביב,י. ל. פרץ,1960,,,,,,1
,"אליצקי, לייב",מענטשן פון מיין שטעטל,,ווארשע,יידיש בוך,1958,,,,,,1
,"אליצקי, לייב",פאלקסטימלעכע באלאדן,,ווארשע,יידיש בוך,1957,,,,,,1
,"אליצקי, לייב",פון דער היים און פון דער פרעמד,,תל אביב,ישראל בוך,1976,,,,,,1
,"אליצקי, לייב",פון קרילאווס משלים,,ווארשע,יידיש בוך,1950,,,,,,1
,"אליצקי, מ",אין פרעמדן לאנד,,דייטשלאנד,עשוועגע,1948,,,,,,1
,"אליצקי, מ",לידער פאר יוגנט,,ניו יארק,,1974,,,,,,1
,"אליצקי, מ",לידער פון פריער און פון איצט,,תל אביב,ישראל בוך,1980,,,,,,1
,"אליצקין, מ",פריילעכע טעג.,,ניו יארק,ארבעטער רינג,1962,,,,,,1
,"אלמאזאוו, ש",די אונטערערדישע מלחמה אין אייראפע.,,ניו יארק,א קאמיטעט,1943,,,,,,1
,"אלמאזאוו, ש",מיט דעם ווארט צום פאלק,,ניו יארק,איקוף,1947,,,,,,1
,"אלמאזאוו, ש",מיט דעם ווארט צום פאלק.,,ניו יארק,איקוף,1947,,,,,,1
,"אלמוגי, יוסף",געשיכטע פון א לעבן. א טיפער אריינבליר,,בוענאס איירעס,,1984,,,,,,1
,"אלמי, א",Letste gezangen. SHUROT AHARONOT,,תל אביב,י. ל. פרץ,1966,,,,,,1
,"אלמי, א",אין געראנגל פון אידייען,,בוענאס איירעס,יידישער ראציאנאליסטישער געזעלשאפט,1957,,,,,,1
,"אלמי, א",אין עליאש'ס קיניגרייך,,ווארשע,פארלאג פנחס גראובארד,1924,,,,,,1
,"אלמי, א",ביי די ראנד,,ניו יארק,עכא,1923,,,,,,1
,"אלמי, א",געזאנג און געוויין,,ניו יארק,שרייבער פארלאג,1943,,,,,,1
,"אלמי, א",די צווייטע עקזיסטענץ,,ניו יארק,קאסמאס,1921,,,,,,1
,"אלמי, א",חשבון און סך-הכל,,ניו יארק,,1959,,,,,,1
,"אלמי, א",לעצטע געזאנגען,,בוענאס איירעס,ווארשעווער און פראגער יידן אין ארגענטינע,1954,,,,,,1
,"אלמי, א",פאר די ליכט. לידער,,ווארשע,,1927,,,,,,1
,"אלעווסקי, בוזי",אשערל און זיינע פריינט,,מאסקווע,דער עמעס,1947,,,,,,1
,"אלעי, אליעזר",אויף פרעמדער ערד,,תל אביב,,1979,,,,,,1
,"אלעי, אליעזר",גארבער גאס,,תל אביב,,1967,,,,,,1
,"אלעי, אליעזר",די שטוב: נאוועלן,,תל אביב,,1959,,,,,,1
,"אלעי, אליעזר",ירושה פון דורות,,תל אביב,,1977,,,,,,1
,"אלעקסאנדראוו, ג פ (רעד)",י. וו. סטאלין,,מאסקווע,דער אמת,1947,,,,,,1
,"אלפס, בן-ציון",מעשה אלפס. 1-5. א ווירקליכע הערצליכע ליבע,,ווארשע,ש. שרעבערק,,,,,,,1
,"אלפעראוויטש, יצחק",ספר גורזד (ליטא).,,תל אביב,ארגון יוצאי גורזד בישראל,1980,,,,,,1
,"אלפערין, א. (רעד)",פון הערצלס טאגביכער.,,ירושלים,הספריה הציונית,1965,,,,,,1
,"אלפערין, מנוחה",אונטער פרעמדע און אייגענע הימלען,,ישראל,,1972,,,,,,1
,"אלפערסאן, מרדכי",אין ארגענטינע,,בוענאס איירעס,ייווא,1967,,,,,,1
,"אלקאן, י",די מלחמה אין מידלוויל,,ניו יארק,איקוף,1947,,,,,,1
,"אלקאן, י",דראמאטישע ווערק,,תל אביב,י. ל. פרץ,1962,,,,,,1
,"אלקאן, יהשוה",די מלחמה אין מידלווייל,,ניו יארק,איקוף,1947,,,,,,1
,"אלקוויט-בלום, ב",לידער,,ניו יארק,,1964,,,,,,1
,"אלתר, רחל",איז געווען א מענטש,,תל אביב,,1969,,,,,,1
,"אמאדא, זשארזשע",אינעם מאלכעס פון קאקאא,,בוענאס איירעס,איקוף,1956,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן.,,ווארשע,פארלאג אנ-סקי,1928,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן.,,ווארשע,פארלאג אנ-סקי,1921,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן.,,ווארשע,פארלאג אנ-סקי,1923,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן. הומארעסקן און לידער,,ווארשע,פארלאג אנ-סקי,1922,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן. חורבן גאליציע,,ווארשע,פארלאג אנ-סקי,1921,,,,,,1
,"אנ-סקי, ש",גאזאמלטע שריפטן. נאוועלן,,ווארשע,פארלאג אנ-סקי,1922,,,,,,1
,"אנ-סקי, ש",געזאמלטע שריפטן,,ווילנע-ווארשע-ניו יארק,פארלאג אנ-סקי,1922,,,,,,1
,"אנ-סקי, ש",געזעמלטע שריפטן.,,ווילנע,"אנ-סקי פארלאג, פוילן",1928,,,,,,1
,"אנ-סקי, ש",געזעמלטע שריפטן.,,ווילנע,"אנ-סקי פארלאג, פוילן",1928,,,,,,1
,"אנ-סקי, ש",געזעמלטע שריפטן. פיאנערן,,ווילנע,"אנ-סקי פארלאג, פוילן",1928,,,,,,1
,"אנ-סקי, ש",געזעמלטע שריפטן. פיאנערן,,ווילנע,"אנ-סקי פארלאג, פוילן",1928,,,,,,1
,"אנדלין, נחמיה",אויף די וועגן פון פארטיזאנער קאמף. זכרונות,,תל אביב,,1980,,,,,,1
,"אנדערסען, ה",די שניי-מלכה.,,מעקסיקע,קינדער ליטעראטור-פאנד,1955,,,,,,1
,"אנדרעיעוו, לעאניד",דער רויטער געלעכטער.,,ניו יארק,מאקס יאנקאוויטש,,,,,,,1
,"אנדרעס, חיה רחל",Mayn tatns yerusheh : lider.,,תל אביב,המנורה,1972,,,,,,1
,"אנדרעעוו, לעאניד",געזאמלטע שריפטן.,,ניו יארק,היברו פאבלישינג קא,1912,,,,,,1
,"אנדרעעוו, לעאניד",געקליבענע שריפטן,,ניו יארק,היברו פאבלישינג קא,1912,,,,,,1
,"אנדרעעוו, לעאניד",דער אשמדאי.,,ניו יארק,היברו פאבלישינג קא,1909,,,,,,1
,"אנדרעעוו, לעאניד - מ. קאטץ",געקליבענע שריפטן,,ניו יארק,היברו פאבלישינג קאמפאני,1926,,,,,,1
,"אנוכי, ז. י.",ווינטער,,קיעוו,קונסט פארלאג,,,,,,,1
,"אסטראווסקי-רוטמאן, א.נ.",זלמן ריפע,,תל אביב,,1964,,,,,,1
,"אסטראווסקי (ראטמאן), א. נ.",דערציילונגען און דראמע.,,תל אביב,,1963,,,,,,1
,"אסטראווסקי, ב - הורוויץ, ש",אידיש. פאר אנפאנגער. א,,ניו יארק,פאלקס שול פארלאג,1930,,,,,,1
,"אסטראווסקי, ב - הורוויץ, ש",אידיש. פאר אנפאנגער. ב.,,ניו יארק,פאלקס שול פארלאג,1927,,,,,,1
,"אסטרי-דן, ישיעהו",יארבוך פון מעקסיקאנער יידנטום. 1950-52,,מעקסיקע,יידישער וואלט קאנגרעס,1952,,,,,,1
,אסיא,ניט קיין אלבאטראס. לידער,,תל אביב,ישראל בוך,1981,,,,,,1
,אסיא,צווייגן-ציטער,,תל אביב,מנורה,1972,,,,,,1
,"אסמאן, ישראל",דאס בוך פון נסיונות,,לאס אנדזשעלעס,אייגענע,1926,,,,,,1
,"אפאטאשו, י",א טאג אין רעגענסבורג און אליהו בחור,,ניו יארק,ע. מאלינא,1933,,,,,,1
,"אפאטאשו, י",אין פוילישע וועלדער,,ניו יארק,פארלאג י. ר. נאוואק,1947,,,,,,1
,"אפאטאשו, י",בר-ככבא. דער לעצטער אויפשטאנד.,,ניו יארק,ציקא,1955,,,,,,1
,"אפאטאשו, י",געזאמלטע ווערק. קלאסנקאמף,,ווילנע,ב. קלעצקין,1931,,,,,,1
,"אפאטאשו, י",ווען פוילן איז געפאלן,,בוענאס איירעס,יידיש,1945,,,,,,1
,"אפאטאשו, י",יידיש און יידישקייט,,טאראנטא,גרשון פאמאראנץ,1949,,,,,,1
,"אפאטאשו, י",מלאווער דערציילונגען,,בוענאס איירעס,יוסף איוואן און שרה איוואן-בורשטין,1954,,,,,,1
,"אפאטאשו, י",פארלוירענע מענטשן,,בערלין,אידישער ליטערארישער פארלאג,1922,,,,,,1
,"אפאטאשו, י",פון אונדזער אוצר.,,ניו יארק,ציקא,1957,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 1,,ניו יארק,,1936,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 1,,ניו יארק,,1936,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 2,,ניו יארק,,1937,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 2,,ניו יארק,,1937,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 3,,ניו יארק,,1938,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 4,,ניו יארק,,1939,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 5,,ניו יארק,,1943,,,,,,1
,"אפאטאשו, י - ה. לייוויק (רעד)",זאמלביכער. 6,,ניו יארק,,1945,,,,,,1
